Country Name,Country Code,Año,Balanza_comercial,Desempleo,Exportaciones bienes y servicios,Exportaciones mercaderías,Exportaciones servicios comerciales,Importaciones bienes y servicios,Importaciones mercaderías,Importaciones servicios comerciales,Importaciones minerales y metales,Importaciones productos manufacturados,Exportaciones productos manufacturados,Exportaciones metales y minerales,Exportaciones combustibles,Importaciones combustibles,PIB
China,CHN,2000,28785851579,3.099999905,2.53E+11,2.49E+11,78423162000,2.24E+11,2.25E+11,36095882000,1.28E+12,1.69E+13,2.20E+13,4.75E+11,7.83E+11,2.13E+12,1.21E+12
China,CHN,2001,28086220298,3.599999905,2.72E+11,2.66E+11,89676000000,2.44E+11,2.44E+11,39222000000,1.39E+12,1.89E+13,2.36E+13,4.82E+11,8.40E+11,1.81E+12,1.34E+12
China,CHN,2002,37382671264,4,3.33E+11,3.26E+11,1.02E+11,2.96E+11,2.95E+11,46314344470,1.52E+12,2.35E+13,2.93E+13,5.29E+11,8.44E+11,2.04E+12,1.47E+12
China,CHN,2003,35821129066,4.300000191,4.48E+11,4.38E+11,57319786079,4.12E+11,4.13E+11,55092530376,2.24E+12,3.26E+13,3.97E+13,7.18E+11,1.11E+12,3.09E+12,1.66E+12
China,CHN,2004,51174382540,4.199999809,6.07E+11,5.93E+11,78780946446,5.56E+11,5.61E+11,72349629243,4.07E+12,4.22E+13,5.42E+13,1.16E+12,1.44E+12,5.12E+12,1.96E+12
China,CHN,2005,1.25E+11,4.199999809,7.73E+11,7.62E+11,77974071361,6.49E+11,6.60E+11,83347845619,5.67E+12,4.82E+13,7.00E+13,1.41E+12,1.75E+12,6.97E+12,2.29E+12
China,CHN,2006,2.09E+11,4.099999905,9.92E+11,9.69E+11,93492297850,7.83E+11,7.91E+11,1.00E+11,7.13E+12,5.63E+13,8.95E+13,2.15E+12,1.75E+12,9.78E+12,2.75E+12
China,CHN,2007,3.08E+11,4,1.26E+12,1.22E+12,1.25E+11,9.50E+11,9.56E+11,1.28E+11,1.13E+13,6.55E+13,1.14E+14,2.30E+12,2.06E+12,1.15E+13,3.55E+12
China,CHN,2008,3.49E+11,4.199999809,1.50E+12,1.43E+12,1.45E+11,1.15E+12,1.13E+12,1.55E+11,1.48E+13,7.01E+13,1.33E+14,2.49E+12,3.16E+12,1.84E+13,4.59E+12
China,CHN,2009,2.20E+11,4.300000191,1.26E+12,1.20E+12,1.22E+11,1.04E+12,1.01E+12,1.45E+11,1.36E+13,6.48E+13,1.12E+14,1.45E+12,2.04E+12,1.35E+13,5.10E+12
